Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,509.82,297.0,12.0,180.0,0,509.82,297.0,12.0,180.0,6.0,0.0
1.0,0.07828197098591708,508.82,297.0,13.548666887293884,180.0,0,486.29,297.0,180.0,180.0,12.0,0
2.0,0.14809974497840805,507.82,297.0,15.097333774587767,180.0,0,440.0,306.0,180.0,180.0,12.0,0
3.0,0.21110509824407606,506.82,297.0,16.64600066188165,180.0,0,400.0,306.0,24.0,200.0,12.0,0
4.0,0.2685092785509644,505.82,297.0,18.194667549175534,180.0,0,387.0,295.0,18.0,200.0,6.0,0.0
5.0,0.32122686765217123,504.82,297.0,19.743334436469418,180.0,0,,,,,,
6.0,0.3699653503024874,503.82,297.0,21.2920013237633,180.0,0,,,,,,
7.0,0.4152832524616126,502.82,297.0,22.840668211057185,180.0,0,,,,,,
8.0,0.4576292160411154,501.82,297.0,24.38933509835107,180.0,0,,,,,,
9.0,0.4973690496162957,500.82,297.0,25.938001985644952,180.0,0,,,,,,
10.0,0.5348049377155232,499.82,297.0,27.486668872938836,180.0,0,,,,,,
11.0,0.57018938688678,498.82,297.0,29.03533576023272,180.0,0,,,,,,
12.0,0.6037355491457644,497.82,297.0,30.584002647526603,180.0,0,,,,,,
13.0,0.635624996248204,496.82,297.0,32.13266953482049,180.0,0,,,,,,
14.0,0.6660136646010876,495.82,297.0,33.68133642211437,180.0,0,,,,,,
15.0,0.6950364641547164,494.82,297.0,35.230003309408254,180.0,0,,,,,,
16.0,0.7228108960754807,493.82,297.0,36.77867019670214,180.0,0,,,,,,
17.0,0.7494399244636532,492.82,297.0,38.32733708399602,180.0,0,,,,,,
18.0,0.7750142793826598,491.82,297.0,39.876003971289904,180.0,0,,,,,,
19.0,0.7996143211927076,490.82,297.0,41.42467085858379,180.0,0,,,,,,
20.0,0.8233115627872715,489.82,297.0,42.97333774587767,180.0,0,,,,,,
21.0,0.8461699223938384,488.82,297.0,44.522004633171555,180.0,0,,,,,,
22.0,0.8682467622104277,487.82,297.0,46.07067152046544,180.0,0,,,,,,
23.0,0.8895937553587067,486.82,297.0,47.61933840775932,180.0,0,,,,,,
23.529999999999973,0.9006285861470408,486.29,297.0,48.44013185802504,180.0,0,,,,,,
24.529999999999976,0.9211180478790592,485.3083812995289,297.19085263132945,49.171021922293725,180.0,0,,,,,,
25.52999999999998,0.941305196084844,484.32676259905776,297.3817052626589,49.90191198656241,180.0,0,,,,,,
26.529999999999983,0.9611988220741328,483.3451438985866,297.57255789398835,50.632802050831096,180.0,0,,,,,,
